Kelime ID,Almanca Kelime,Frekans,Türkçe Anlamý
220,etwa,133,"yaklaþýk, örneðin"
212,wurden,131,oldular (edilgen geçmiþ çoðul)
214,diesem,131,"bu (eril/nötr, -e hali)"
215,muss,130,zorunda (müssen)
227,drei,126,üç
221,will,125,istiyor (wollen)
224,gut,124,iyi
225,geht,121,"gider, gidiyor"
226,Jahre,117,yýllar
228,Deutschland,116,Almanya
230,worden,115,olunmuþ (edilgen çatý yardýmcý)
273,dazu,115,buna ek olarak
247,rund,113,yaklaþýk; yuvarlak
245,selbst,111,kendisi
250,zwischen,111,arasýnda
240,neuen,109,yeni (çekimli)
244,ersten,109,ilk (çekimli)
281,dort,109,orada
341,denn,109,çünkü
239,ins,108,içine (in das)
242,uns,108,"bize, bizi"
238,Zeit,107,zaman
241,steht,106,"duruyor, yazýyor"
259,ihren,105,onun/onlarýn (çekimli iyelik)
246,vergangenen,103,"geçmiþ, geçen"
248,seien,102,olsunlar (konjunktiv çoðul)
253,etwas,101,"biraz, bir þey"
340,mal,100,"kere, bir kez"
256,ihrer,99,onun/onlarýn (tamlayan hali)
252,Ende,98,son
262,weiter,98,"daha ileri, devam"
287,laut,98,-e göre; yüksek sesle
258,kommt,97,geliyor
255,Polizei,96,polis
257,sowie,96,"ve ayrýca, olduðu gibi"
269,heute,96,bugün
313,ob,95,-ip -ipmediði (baðlaç)
261,seinem,94,"onun (eril/nötr, -e hali)"
266,müssen,94,zorunda olmak
267,seinen,94,"onun (eril, -i hali)"
260,sagt,93,diyor
263,allem,92,"her þey (nötr, -e hali)"
265,machen,92,yapmak
294,erst,92,"ancak, önce"
359,während,92,"esnasýnda, iken"
268,beiden,91,her ikisi (çekimli)
373,dies,91,bu
299,weil,90,çünkü
326,deutschen,90,Alman (çekimli)
271,viel,89,çok
407,zudem,89,ayrýca
295,sollte,87,gerekirdi (sollen geçmiþ)
305,dafür,85,bunun için
309,dieses,85,bu (nötr)
270,ihn,84,onu (eril)
285,ganz,83,tamamen
293,weitere,83,"diðer, ilave"
303,wo,83,nerede
344,allerdings,82,"ancak, gerçi"
282,ihm,81,ona (eril/nötr)
284,andere,81,diðer
333,wer,81,kim
274,anderen,80,diðer (çekimli)
279,werde,80,olacaðým (werden 1. tekil)
289,also,80,"yani, öyleyse"
302,wegen,80,"yüzünden, sebebiyle"
275,gab,79,verdi (geben geçmiþ)
278,könnte,79,yapabilirdi (können konjunktiv)
308,alles,79,her þey
276,Millionen,78,milyonlar
277,hatten,78,sahiptiler (haben geçmiþ çoðul)
283,Stadt,76,þehir
288,sondern,76,"aksine, bilakis"
286,kommen,75,gelmek
291,kam,74,geldi
292,sollen,74,"gerekmek, -meli"
298,jedoch,74,"ancak, yine de"
301,einmal,74,bir kez
367,leben,73,yaþamak
297,Ukraine,72,Ukrayna
338,zwar,71,"gerçi, þüphesiz"
304,würden,70,yaparlardý (werden konjunktiv çoðul)
314,ohne,69,"-sýz, olmadan"
322,vier,69,dört
306,Land,68,"ülke, kara"
307,Unternehmen,68,þirket
312,Platz,66,"meydan, yer"
352,großen,66,büyük (çekimli)
316,eigenen,65,kendi (çekimli)
347,mehrere,65,"birkaç, çeþitli"
315,Kinder,64,çocuklar
329,sogar,64,hatta
330,würde,64,yapardý
364,kein,63,hiçbir (eril/nötr)
423,zuletzt,63,en son
318,konnte,62,yapabildi (können geçmiþ)
319,musste,62,zorundaydý (müssen geçmiþ)
335,stehen,62,durmak
337,davon,62,"ondan, bundan"
320,Sonntag,61,pazar (gün)
321,gehen,61,gitmek
325,deutlich,61,"belirgin, açýk"
327,liegt,61,"yatýyor, bulunuyor"
455,pro,61,"baþýna, -e karþý"
328,mich,60,beni
339,letzten,60,son (çekimli)
351,große,60,büyük (çekimli)
382,genau,60,"tam, kesinlikle"
331,Freitag,59,cuma
332,Spiel,59,"oyun, maç"
334,Wochen,59,haftalar
350,erste,59,ilk (çekimli)
566,deutsche,59,Alman (çekimli)
336,Welt,58,dünya
375,statt,58,yerine
381,derzeit,58,þu anda
349,bleibt,57,kalýyor
357,einfach,57,"basit, sadece"
362,darauf,57,onun üzerine
435,weg,57,"uzakta, gitmiþ"
342,Frau,56,"kadýn, bayan"
343,Woche,56,hafta
345,gewesen,56,olmuþ (sein geçmiþ ortaç)
346,ihrem,56,onun/onlarýn (diþil -e hali)
348,sieht,56,görüyor
358,wollen,56,istemek
360,zurück,56,geri
398,ihnen,56,onlara
453,einige,56,"bazýlarý, birkaç"
556,insgesamt,56,toplamda
365,lassen,55,"býrakmak, izin vermek"
370,wohl,55,muhtemelen
374,diesen,55,bu (eril -i hali/çoðul -e hali)
377,oft,55,sýk sýk
531,neben,55,yanýnda
353,Samstag,54,cumartesi
354,Tag,54,gün
355,Thema,54,"konu, tema"
356,anderem,54,diðer (nötr -e hali)
366,sehen,54,görmek
385,ebenfalls,54,ayný þekilde
405,macht,54,yapýyor
361,Mann,53,adam
378,weniger,53,daha az
508,besonders,53,özellikle
368,finden,52,bulmak
369,geben,52,vermek
394,fünf,52,beþ
465,ja,52,evet
596,außerdem,52,ayrýca
626,welche,52,hangi
404,knapp,51,"az, kýsa"
622,deshalb,51,bu yüzden
634,trotz,51,-e raðmen
376,Team,50,takým
387,möglich,50,mümkün
420,fast,50,neredeyse
620,beide,50,her ikisi
379,Oktober,49,ekim
383,könne,49,yapabilsin (können konjunktiv)
419,teil,49,"kýsým, parça (Teil)"
452,besser,49,daha iyi
507,aktuell,49,güncel
510,gerade,49,"tam þimdi, düz"
384,Juni,48,haziran
386,kommenden,48,gelecek (çekimli)
528,daher,48,bu yüzden
574,zunächst,48,"önce, ilk olarak"
390,Geld,47,para
392,denen,47,onlara (çoðul -e hali)
393,erklärt,47,açýklýyor
395,gemacht,47,yapýlmýþ
396,heißt,47,"denir, anlamýna gelir"
397,hätten,47,sahip olurlardý
403,hin,47,oraya doðru
406,mir,47,bana
421,später,47,daha sonra
399,Einsatz,46,"kullaným, görev, müdahale"
400,FC,46,futbol kulübü (kýsaltma)
401,Ort,46,"yer, mekân"
402,Trump,46,Trump (özel isim)
411,bleiben,46,kalmak
414,nichts,46,hiçbir þey
424,zusammen,46,birlikte
469,bisher,46,þimdiye kadar
408,Angaben,45,"bilgiler, veriler"
409,Berlin,45,Berlin
410,Zukunft,45,gelecek
412,findet,45,buluyor; gerçekleþiyor
413,könnten,45,yapabilirlerdi
417,september,45,eylül
422,vielen,45,birçok (çekimli)
438,lange,45,uzun (zaman)
495,stellen,45,"yerleþtirmek, koymak"
416,Montag,44,pazartesi
418,Straße,44,"sokak, cadde"
444,frage,44,soru (Frage)
454,klar,44,"açýk, net"
498,zweiten,44,ikinci (çekimli)
557,kurz,44,kýsa
607,nachdem,44,-dikten sonra
425,Fall,43,"durum, vaka; düþüþ"
428,zeigt,43,gösteriyor
436,gar,43,hiç
544,bislang,43,þimdiye kadar
546,je,43,"her, herbiri; hiç"
430,Israel,42,Ýsrail
431,Mai,42,mayýs
432,Minuten,42,dakikalar
433,Mittwoch,42,çarþamba
437,konnten,42,yapabildiler
439,tun,42,yapmak
440,weiterhin,42,"hâlâ, devamýnda"
457,sollten,42,gerekirdi (çoðul)
462,bekannt,42,"bilinen, tanýnmýþ"
529,erneut,42,yeniden
567,du,42,sen
703,zahlen,42,ödemek; sayýlar
441,Arbeit,41,"iþ, çalýþma"
442,Blick,41,bakýþ
443,Familie,41,aile
445,Geschichte,41,"tarih, hikâye"
447,Milliarden,41,milyarlar
448,Monaten,41,aylar (-e hali)
449,Russland,41,Rusya
450,Tage,41,günler
456,schwer,41,"aðýr, zor"
464,gute,41,iyi (çekimli)
474,schnell,41,hýzlý
475,wäre,41,olurdu
485,wenig,41,az
555,gemeinsam,41,"ortak, birlikte"
575,zuvor,41,önceden
606,darüber,41,"onun hakkýnda, üzerinde"
458,Beispiel,40,örnek
460,Feuerwehr,40,itfaiye
461,Sommer,40,yaz
463,eher,40,"daha çok, ziyade"
466,zeigen,40,göstermek
470,dürfen,40,izinli olmak
467,Partei,39,parti
471,ging,39,gitti
472,möchte,39,isterdim
473,sagen,39,söylemek
484,bald,39,yakýnda
494,stark,39,güçlü
533,zehn,39,on
609,unsere,39,bizim
478,Bereich,38,"alan, bölge"
479,Februar,38,þubat
480,März,38,mart
481,November,38,kasým
492,nächsten,38,"gelecek, sonraki (çekimli)"
532,wichtig,38,önemli
593,natürlich,38,"doðal olarak, tabii"
605,damals,38,o zamanlar
486,Anfang,37,baþlangýç
487,Dienstag,37,salý
488,Gäste,37,misafirler
489,Personen,37,kiþiler
490,SPD,37,SPD (Alman Sosyal Demokrat Partisi)
491,erklärte,37,açýkladý
493,sicher,37,"emin, güvenli"
496,wirklich,37,gerçekten
497,zufolge,37,-e göre
514,verletzt,37,"yaralý, incinmiþ"
526,besten,37,en iyi
584,hinter,37,arkasýnda
499,April,36,nisan
501,Europa,36,Avrupa
502,Gruppe,36,grup
503,Regierung,36,hükümet
504,Richtung,36,yön
505,Sieg,36,zafer
506,Ziel,36,hedef
509,dürfte,36,muhtemelen -dir
511,gilt,36,geçerlidir
512,hätte,36,sahip olurdu
513,keinen,36,hiçbir (eril -i hali)
519,folge,36,sonuç (Folge); takip ediyorum
520,grünen,36,yeþil (çekimli)
530,liegen,36,"yatmak, bulunmak"
569,kaum,36,neredeyse hiç
662,vielleicht,36,belki
678,stand,36,"durdu, duruyordu"
885,danach,36,ondan sonra
516,Bayern,35,Bavyera
518,Fans,35,"hayranlar, taraftarlar"
522,Januar,35,ocak
523,Problem,35,sorun
524,Trainer,35,antrenör
525,USA,35,ABD
527,bringen,35,getirmek
572,sechs,35,altý
536,August,34,aðustos
538,Donnerstag,34,perþembe
539,Frauen,34,kadýnlar
541,München,34,Münih
542,Nacht,34,gece
543,Vergleich,34,karþýlaþtýrma
545,einigen,34,bazýlarý (çekimli)
547,lässt,34,býrakýyor
548,offenbar,34,görünüþe göre
583,gegenüber,34,karþýsýnda
585,nehmen,34,almak
590,allen,34,"herkese, tümüne"
615,kosten,34,maliyeti olmak
549,Bürgermeister,33,belediye baþkaný
551,Dezember,33,aralýk
552,Entscheidung,33,karar
554,gegeben,33,verilmiþ
611,fragen,33,sormak
560,Auto,32,araba
563,Rolle,32,rol
564,Tagen,32,günler (-e hali)
565,aller,32,hepsinin
568,gehört,32,aittir; duyulmuþ
570,leicht,32,"kolay, hafif"
571,meisten,32,çoðu
573,weiteren,32,"diðer, ilave (çekimli)"
656,eigentlich,32,aslýnda
745,warum,32,neden
914,gleichzeitig,32,ayný anda
983,dennoch,32,yine de
577,Art,31,"tür, çeþit"
578,Höhe,31,yükseklik
579,Jahres,31,yýlýn (tamlayan)
580,Präsident,31,baþkan
581,Saison,31,sezon
582,erhalten,31,"almak, korumak"
586,stellt,31,"koyuyor, yerleþtiriyor"
592,gleich,31,hemen; eþit
659,neues,31,yeni (nötr)
676,neuer,31,yeni (eril)
714,spielen,31,oynamak
775,jeder,31,her biri
588,Rahmen,30,çerçeve
589,Schweiz,30,Ýsviçre
591,berichtet,30,"bildiriyor, haber veriyor"
594,Österreich,30,Avusturya
657,geplant,30,planlanmýþ
672,anders,30,farklý
740,junge,30,genç (çekimli)
858,somit,30,böylece
982,dadurch,30,bu sayede
993,recht,30,oldukça; hak
597,Informationen,29,bilgiler
598,Meter,29,metre
599,Michael,29,Michael (özel isim)
600,Männer,29,erkekler
601,Wien,29,Viyana
602,Zahl,29,sayý
603,bin,29,-im (sein 1. tekil)
604,braucht,29,ihtiyaç duyuyor
608,spielt,29,oynuyor
623,neu,29,yeni
624,nächste,29,"gelecek, sonraki"
625,weit,29,"uzak, geniþ"
636,direkt,29,doðrudan
706,erstmals,29,ilk kez
717,wenige,29,birkaç
770,fest,29,"sabit, saðlam"
881,allein,29,yalnýz
887,demnach,29,buna göre
610,Entwicklung,28,geliþme
612,Gemeinde,28,"belediye, cemaat"
613,Grund,28,"sebep, zemin"
614,Haus,28,ev
618,Region,28,bölge
619,Wochenende,28,hafta sonu
621,beispielsweise,28,örneðin
627,wollte,28,istedi
637,erwartet,28,bekleniyor
639,hält,28,tutuyor
661,sieben,28,yedi
779,schließlich,28,sonunda
784,wissen,28,bilmek
896,mittlerweile,28,"bu arada, artýk"
1179,the,28,(Ýngilizce artikel - the)
630,Kunden,27,müþteriler
631,Möglichkeit,27,"olanak, imkân"
638,geworden,27,olmuþ
640,schaffen,27,"baþarmak, yaratmak"
641,unserer,27,bizim (diþil tamlayan)
654,alte,27,eski (çekimli)
655,deren,27,onlarýn (ilgi zamiri)
660,nie,27,asla
708,frei,27,"özgür, serbest"
710,kleinen,27,küçük (çekimli)
738,früher,27,"önceden, eskiden"
744,tatsächlich,27,gerçekten
778,obwohl,27,-e raðmen (baðlaç)
846,europäischen,27,Avrupa'ya ait (çekimli)
644,Abend,26,akþam
646,Beginn,26,baþlangýç
649,Dollar,26,dolar
650,Grad,26,derece
651,Juli,26,temmuz
652,Mannschaft,26,takým
653,Spieler,26,oyuncu
658,mindestens,26,en az
673,dessen,26,"onun (ilgi zamiri, eril/nötr)"
674,hohen,26,yüksek (çekimli)
681,zweite,26,ikinci
802,ebenso,26,ayný þekilde
842,aufgrund,26,-den dolayý
911,folgen,26,"izlemek, takip etmek"
664,AfD,25,AfD (Almanya için Alternatif partisi)
665,CDU,25,CDU (Hristiyan Demokrat Birlik)
666,Christian,25,Christian (özel isim)
667,Daten,25,veriler
668,Kind,25,çocuk
669,Medien,25,medya
670,Schritt,25,adým
671,Unterstützung,25,destek
675,mitteilte,25,bildirdi
677,russischen,25,Rus (çekimli)
679,verloren,25,kaybedilmiþ
709,jeden,25,her (eril -i hali)
713,per,25,aracýlýðýyla
739,halten,25,tutmak
741,künftig,25,gelecekte
856,paar,25,"birkaç, çift"
882,arbeiten,25,çalýþmak
981,anschließend,25,ardýndan
987,insbesondere,25,özellikle
996,sorgen,25,endiþelenmek; saðlamak
1073,trotzdem,25,yine de
683,Bürger,24,vatandaþ
684,Chance,24,"þans, fýrsat"
685,Franken,24,Ýsviçre frangý
686,Lage,24,"durum, konum"
687,Ländern,24,ülkeler (-e hali)
688,Markt,24,pazar
689,Martin,24,Martin (özel isim)
690,Mitte,24,orta
692,Paris,24,Paris
693,Probleme,24,sorunlar
694,Programm,24,program
695,Scholz,24,Scholz (özel isim)
698,Stunde,24,saat (süre)
699,Tiere,24,hayvanlar
700,Union,24,birlik
701,Verein,24,"dernek, kulüp"
704,Zeitpunkt,24,zaman noktasý
705,bekommt,24,alýyor
707,erwarten,24,beklemek
711,komplett,24,tamamen
712,letzte,24,son
715,spricht,24,konuþuyor
733,bekommen,24,almak
743,schreibt,24,yazýyor
768,betroffen,24,etkilenmiþ
774,innerhalb,24,"içinde, dahilinde"
776,lang,24,uzun
803,erreichen,24,ulaþmak
810,jedes,24,her (nötr)
811,kleine,24,küçük
859,sowohl,24,hem (sowohl...als auch)
927,stimmen,24,oy vermek; doðru olmak
939,jungen,24,genç (çekimli)
971,stelle,24,"yer, pozisyon (Stelle)"
1144,zusätzlich,24,ek olarak
1289,dank,24,sayesinde
719,Besucher,23,ziyaretçi
721,Gesellschaft,23,"toplum, þirket"
722,Hause,23,"eve, evde (zu Hause)"
725,Monate,23,aylar
726,Projekt,23,proje
727,Sprecher,23,sözcü
728,Stuttgart,23,Stuttgart
729,Vater,23,baba
730,Wasser,23,su
731,Wetter,23,hava durumu
734,berichtete,23,"bildirdi, haber verdi"
735,bietet,23,sunuyor
736,brachte,23,getirdi
737,dritten,23,üçüncü (çekimli)
742,mehreren,23,birçok (çekimli)
780,suchen,23,aramak
814,richtig,23,doðru
825,grüne,23,yeþil (çekimli)
884,bevor,23,-den önce
903,weiß,23,beyaz; biliyor
749,Andreas,22,Andreas (özel isim)
751,Erfolg,22,baþarý
752,Gegner,22,rakip
753,Gespräch,22,"konuþma, görüþme"
755,Interview,22,röportaj
756,Italien,22,Ýtalya
757,Kilometer,22,kilometre
758,Leute,22,insanlar
759,Namen,22,isim (-e hali)
760,Opfer,22,kurban
761,Politik,22,siyaset
762,Sicherheit,22,güvenlik
763,Situation,22,durum
764,Start,22,baþlangýç
765,Stunden,22,saatler
766,bedeutet,22,anlamýna geliyor
767,betonte,22,vurguladý
769,darf,22,izinli (dürfen)
771,fordert,22,talep ediyor
772,führt,22,"yönetiyor, götürüyor"
773,gehören,22,ait olmak
777,machte,22,yaptý
781,teilte,22,"paylaþtý, bildirdi"
782,unterwegs,22,yolda
785,wolle,22,istesin (konjunktiv)
796,seite,22,"sayfa, taraf (Seite)"
817,versucht,22,deniyor
860,unterstützt,22,destekliyor
897,nutzen,22,kullanmak; fayda
933,daran,22,onun üzerinde/hakkýnda
938,groß,22,büyük
945,unser,22,bizim
988,internationalen,22,uluslararasý (çekimli)
1006,zumindest,22,en azýndan
1219,wann,22,ne zaman
788,Bank,21,banka; bank
789,Eltern,21,ebeveynler
790,Energie,21,enerji
791,Ermittlungen,21,soruþturmalar
792,Krankenhaus,21,hastane
793,Lösung,21,çözüm
794,Mitarbeiter,21,çalýþan
795,Peter,21,Peter (özel isim)
797,Unfall,21,kaza
798,Wahl,21,seçim
799,alt,21,"eski, yaþlý"
800,bereit,21,hazýr
801,blieb,21,kaldý
804,fand,21,buldu
805,gebracht,21,getirilmiþ
806,gefunden,21,bulunmuþ
807,gekommen,21,gelmiþ
808,gewinnen,21,kazanmak
809,hingegen,21,buna karþýn
813,melden,21,bildirmek
815,schweren,21,aðýr (çekimli)
816,setzt,21,"koyuyor, oturtuyor"
836,suche,21,arýyorum; arama
844,eingesetzt,21,"kullanýlmýþ, görevlendirilmiþ"
847,freuen,21,sevinmek
852,kamen,21,geldiler
853,ließ,21,býraktý
854,läuft,21,"koþuyor, yürüyor"
886,darunter,21,bunlarýn arasýnda
942,plötzlich,21,aniden
989,inzwischen,21,bu arada
1053,ganze,21,"bütün, tüm"
1423,treffen,21,"buluþmak, isabet etmek"
1547,meine,21,benim (diþil/çoðul)
821,Bahn,20,"tren, yol"
822,Bundesregierung,20,federal hükümet
823,China,20,Çin
826,Kreis,20,"çember, ilçe"
827,Kritik,20,eleþtiri
828,Musik,20,müzik
830,Person,20,kiþi
831,Preis,20,"fiyat, ödül"
833,Punkte,20,puanlar
834,Serie,20,dizi
835,Staat,20,devlet
837,Thomas,20,Thomas (özel isim)
838,Titel,20,"baþlýk, unvan"
839,Tod,20,ölüm
840,Vergangenheit,20,geçmiþ
841,alten,20,eski (çekimli)
843,eben,20,az önce; düz
845,erzählt,20,anlatýyor
848,handelt,20,iþlem yapýyor; konu ediyor (handelt von)
849,hinaus,20,dýþarýya
851,jeweils,20,her defasýnda
855,müsse,20,zorunda olsun (konjunktiv)
857,scheint,20,"görünüyor, parlýyor"
874,soldaten,20,askerler
889,gerne,20,memnuniyetle
890,gesperrt,20,kapatýlmýþ
902,verschiedene,20,çeþitli
905,zieht,20,çekiyor
929,wert,20,deðer
937,gewonnen,20,kazanýlmýþ
943,politische,20,siyasi (çekimli)
1043,de,20,(yabancý isim parçacýðý)
1064,mein,20,benim (eril/nötr)
1153,essen,20,yemek yemek
1276,tat,20,yaptý
862,Anfrage,19,"talep, sorgu"
863,Antrag,19,"baþvuru, önerge"
864,Ball,19,top
865,Betrieb,19,iþletme
866,Bild,19,resim
867,Boden,19,"zemin, toprak"
868,Donald,19,Donald (özel isim)
870,Hälfte,19,yarý
871,Parteien,19,partiler
872,Publikum,19,izleyici kitlesi
873,Schweizer,19,Ýsviçreli
876,Video,19,video
877,Wort,19,kelime
878,Zeitung,19,gazete
880,Zusammenarbeit,19,iþbirliði
883,beginnt,19,baþlýyor
888,gebe,19,vereyim (konjunktiv)
891,gingen,19,gittiler
892,größte,19,en büyük
893,hieß,19,"denildi, adý buydu"
894,ihres,19,"onun (diþil, tamlayan)"
895,länger,19,daha uzun
898,politischen,19,siyasi (çekimli)
899,sofort,19,hemen
900,sorgt,19,"saðlýyor, neden oluyor"
901,sprach,19,konuþtu
904,zeigte,19,gösterdi
917,krieg,19,savaþ (Krieg)
926,spiele,19,oyunlar; oynarým
930,zeugen,19,tanýklýk etmek; doðurmak
932,besteht,19,"var olur, oluþur"
990,kürzlich,19,yakýn zamanda
991,lediglich,19,sadece
994,setzen,19,"koymak, oturtmak"
999,sucht,19,arýyor
1069,solche,19,"böyle, bu tür"
1412,manchmal,19,bazen
1518,angesichts,19,göz önünde bulundurulduðunda
906,Abschluss,18,"tamamlama, mezuniyet"
907,Angebot,18,teklif
908,Bevölkerung,18,nüfus
909,Bühne,18,sahne
912,Gemeinderat,18,belediye meclisi
913,Gericht,18,mahkeme; yemek
915,Idee,18,fikir
916,Karriere,18,kariyer
918,Landes,18,ülkenin (tamlayan)
919,Maßnahmen,18,önlemler
920,New,18,"yeni (Ýngilizce, özel isim parçasý)"
921,Olaf,18,Olaf (özel isim)
922,Plattform,18,platform
923,Raum,18,"oda, mekân"
924,Russlands,18,Rusya'nýn
925,Schulen,18,okullar
931,anderes,18,baþka (nötr)
934,eigene,18,kendi (çekimli)
935,entschieden,18,karar verilmiþ
936,gemeinsamen,18,ortak (çekimli)
940,meist,18,çoðunlukla
941,passiert,18,"oluyor, gerçekleþiyor"
944,startet,18,baþlýyor
946,unseren,18,bizim (çekimli)
947,verlor,18,kaybetti
948,verschiedenen,18,çeþitli (çekimli)
949,wichtigen,18,önemli (çekimli)
951,ziehen,18,çekmek
975,verfahren,18,yöntem; iþlem yapmak
985,greifen,18,"kavramak, müdahale etmek"
1001,verlassen,18,terk etmek
1003,vorerst,18,þimdilik
1081,alter,18,yaþ; eski (çekimli)
1129,links,18,"sol, solda"
1133,oben,18,yukarýda
1193,darum,18,bu yüzden
1259,liebe,18,sevgili; sevgi
1284,acht,18,sekiz
1285,besondere,18,"özel, belirli"
956,Bad,17,"banyo, kaplýca"
957,Bedeutung,17,"anlam, önem"
958,Bericht,17,rapor
960,Biden,17,Biden (özel isim)
963,Konzert,17,konser
964,Länder,17,ülkeler
965,Netz,17,að
967,Schluss,17,son
968,Seiten,17,"sayfalar, taraflar"
969,Sohn,17,oðul
970,Stefan,17,Stefan (özel isim)
972,TV,17,televizyon
973,Themen,17,konular
974,Tochter,17,kýz evlat
976,Verfügung,17,"tasarruf, emir"
977,Verletzungen,17,yaralanmalar
978,Wirtschaft,17,ekonomi
979,Zusammenhang,17,"baðlam, iliþki"
980,angekündigt,17,duyurulmuþ
984,gewann,17,kazandý
986,hoch,17,yüksek
992,legte,17,koydu
995,solle,17,gerekiyor olsun (konjunktiv)
997,starke,17,güçlü (çekimli)
998,stellte,17,"koydu, yerleþtirdi"
1000,unterstützen,17,desteklemek
1002,voll,17,dolu
1004,völlig,17,tamamen
1005,wollten,17,istediler
1040,aktuellen,17,güncel (çekimli)
1041,betont,17,vurgulanmýþ
1045,endlich,17,sonunda
1049,euch,17,"sizi, size"
1056,genutzt,17,kullanýlmýþ
1063,jüngsten,17,"en genç, en son (çekimli)"
1065,nahm,17,aldý
1067,sogenannte,17,"sözde, denilen"
1070,teils,17,kýsmen
1074,zufrieden,17,memnun
1127,großes,17,büyük (nötr)
1130,nahe,17,yakýn
1131,neun,17,dokuz
1196,elf,17,on bir
1203,jede,17,her (diþil)
1220,weltweit,17,dünya çapýnda
1335,betroffenen,17,etkilenen (çekimli)
1703,leider,17,maalesef
1756,betroffene,17,etkilenen
1917,manche,17,bazý
1930,teilen,17,paylaþmak
1009,Band,16,"bant, grup (müzik)"
1011,Besuch,16,ziyaret
1012,Buch,16,kitap
1014,Dortmund,16,Dortmund
1015,EU,16,AB (Avrupa Birliði)
1017,Erfahrung,16,deneyim
1019,Gesicht,16,yüz
1020,Internet,16,internet
1021,Kindern,16,çocuklar (-e hali)
1022,Kirche,16,kilise
1023,Kopf,16,kafa
