Kelime;Türkçe Anlamı;V1 (Yalın Hali);V2 (Geçmiş Zaman);V3 (Sıfat Fiil)
alter;değiştirmek;alter;altered;altered
alternative;alternatif;-;-;-
although;-e rağmen;-;-;-
always;her zaman;-;-;-
amazed;hayrete düşmüş;-;-;-
amazing;inanılmaz;-;-;-
ambition;hırs, hedef;-;-;-
ambitious;hırslı;-;-;-
among;arasında;-;-;-
amount;miktar, tutmak (para);amount;amounted;amounted
analyse;analiz etmek;analyse;analysed;analysed
analysis;analiz;-;-;-
ancient;antik;-;-;-
and;ve;-;-;-
anger;öfke;-;-;-
angle;açı;-;-;-
angry;kızgın;-;-;-
animal;hayvan;-;-;-
ankle;ayak bileği;-;-;-
anniversary;yıl dönümü;-;-;-
announce;duyurmak;announce;announced;announced
announcement;duyuru;-;-;-
annoy;sinir etmek;annoy;annoyed;annoyed
annoyed;sinirlenmiş;-;-;-
annoying;sinir bozucu;-;-;-
annual;yıllık;-;-;-
another;başka bir;-;-;-
answer;cevap, cevaplamak;answer;answered;answered
anxious;kaygılı;-;-;-
any;herhangi;-;-;-
anybody;herhangi biri;-;-;-
any more;artık;-;-;-
anyone;herhangi biri;-;-;-
anything;herhangi bir şey;-;-;-
anyway;her neyse;-;-;-
anywhere;herhangi bir yer;-;-;-
apart;ayrı;-;-;-
apartment;daire;-;-;-
apologize;özür dilemek;apologize;apologized;apologized
app;uygulama;-;-;-
apparent;görünen, açık;-;-;-
apparently;görünüşe göre;-;-;-
appeal;çekicilik, başvurmak;appeal;appealed;appealed
appear;görünmek;appear;appeared;appeared
appearance;görünüş;-;-;-
apple;elma;-;-;-
application;uygulama, başvuru;-;-;-
apply;başvurmak, uygulamak;apply;applied;applied
appointment;randevu;-;-;-
appreciate;takdir etmek;appreciate;appreciated;appreciated
approach;yaklaşım, yaklaşmak;approach;approached;approached
appropriate;uygun;-;-;-
approval;onay;-;-;-
approve;onaylamak;approve;approved;approved
approximately;yaklaşık olarak;-;-;-
April;Nisan;-;-;-
architect;mimar;-;-;-
architecture;mimarlık;-;-;-
area;alan, bölge;-;-;-
argue;tartışmak;argue;argued;argued
argument;tartışma;-;-;-
arise;ortaya çıkmak;arise;arose;arisen
arm;kol;-;-;-
armed;silahlı;-;-;-
arms;silahlar;-;-;-
army;ordu;-;-;-
around;etrafında, çevresinde;-;-;-
arrange;düzenlemek;arrange;arranged;arranged
arrangement;düzenleme;-;-;-
arrest;tutuklamak;arrest;arrested;arrested
arrival;varış;-;-;-
arrive;varmak;arrive;arrived;arrived
art;sanat;-;-;-
article;makale;-;-;-
artificial;yapay;-;-;-
artist;sanatçı;-;-;-
artistic;sanatsal;-;-;-
as;olarak, gibi;-;-;-
ashamed;utanmış;-;-;-
ask;sormak;ask;asked;asked
asleep;uykuda;-;-;-
aspect;yön, husus;-;-;-
assess;değerlendirmek;assess;assessed;assessed
assessment;değerlendirme;-;-;-
assignment;ödev, görev;-;-;-
assist;yardım etmek;assist;assisted;assisted
assistant;asistan;-;-;-
associate;ilişkilendirmek;associate;associated;associated
associated;ilişkili;-;-;-
association;dernek, ilişki;-;-;-
assume;varsaymak;assume;assumed;assumed
at;-de, -da;-;-;-
athlete;sporcu;-;-;-
atmosphere;atmosfer;-;-;-
attach;eklemek, iliştirmek;attach;attached;attached
attack;saldırmak, saldırı;attack;attacked;attacked
attempt;denemek, girişim;attempt;attempted;attempted
attend;katılmak;attend;attended;attended
attention;dikkat;-;-;-
attitude;tutum;-;-;-
attract;çekmek, cezbetmek;attract;attracted;attracted
attraction;çekicilik, cazibe;-;-;-
attractive;çekici;-;-;-
audience;izleyici kitlesi;-;-;-
August;Ağustos;-;-;-
aunt;hala, teyze;-;-;-
author;yazar;-;-;-
authority;otorite, yetki;-;-;-
autumn;sonbahar;-;-;-
available;mevcut, uygun;-;-;-
average;ortalama;average;averaged;averaged
avoid;kaçınmak;avoid;avoided;avoided
award;ödül, ödüllendirmek;award;awarded;awarded
aware;farkında;-;-;-
away;uzakta;-;-;-
awful;berbat;-;-;-
baby;bebek;-;-;-
back;arka, geri, sırt;back;backed;backed
background;arka plan;-;-;-
backwards;geriye doğru;-;-;-
bacteria;bakteri;-;-;-
bad;kötü;-;-;-
badly;kötü bir şekilde;-;-;-
bag;çanta;-;-;-
bake;fırında pişirmek;bake;baked;baked
balance;denge, dengelemek;balance;balanced;balanced
ball;top;-;-;-
ban;yasaklamak, yasak;ban;banned;banned
banana;muz;-;-;-
band;grup, bant;-;-;-
bank (money);banka;-;-;-
bank (river);nehir kıyısı;-;-;-
bar;bar, çubuk;bar;barred;barred
barrier;engel;-;-;-
base;taban, dayandırmak;base;based;based
baseball;beyzbol;-;-;-
based;dayalı;-;-;-
basic;temel;-;-;-
basically;temelde;-;-;-
basis;temel, esas;-;-;-
basketball;basketbol;-;-;-
bath;banyo;-;-;-
bathroom;banyo (oda);-;-;-
battery;pil, batarya;-;-;-
battle;savaş, mücadele etmek;battle;battled;battled
be;olmak;be;was/were;been
beach;plaj;-;-;-
bean;fasulye;-;-;-
bear (deal with);katlanmak;bear;bore;borne
bear (animal);ayı;-;-;-
beat;yenmek, vurmak;beat;beat;beaten
beautiful;güzel;-;-;-
beauty;güzellik;-;-;-
because;çünkü;-;-;-
become;olmak, dönüşmek;become;became;become
bed;yatak;-;-;-
bedroom;yatak odası;-;-;-
bee;arı;-;-;-
beef;sığır eti;-;-;-
beer;bira;-;-;-
before;önce;-;-;-
beg;yalvarmak;beg;begged;begged
begin;başlamak;begin;began;begun
beginning;başlangıç;-;-;-
behave;davranmak;behave;behaved;behaved
behaviour;davranış;-;-;-
behind;arkasında;-;-;-
being;varlık, olma hali;-;-;-
belief;inanç;-;-;-
believe;inanmak;believe;believed;believed
bell;zil;-;-;-
belong;ait olmak;belong;belonged;belonged
below;aşağıda;-;-;-
belt;kemer;-;-;-
bend;bükmek, viraj;bend;bent;bent
benefit;fayda, yararlanmak;benefit;benefited;benefited
bent;eğik;-;-;-
best;en iyi;-;-;-
bet;bahis, bahse girmek;bet;bet;bet
better;daha iyi;-;-;-
between;arasında;-;-;-
beyond;ötesinde;-;-;-
bicycle;bisiklet;-;-;-
big;büyük;-;-;-
bike;bisiklet;-;-;-
bill;fatura;bill;billed;billed
billion;milyar;-;-;-
bin;çöp kutusu;-;-;-
biology;biyoloji;-;-;-
bird;kuş;-;-;-
birth;doğum;-;-;-
birthday;doğum günü;-;-;-
biscuit;bisküvi;-;-;-
bit;biraz, parça;-;-;-
bite;ısırmak;bite;bit;bitten
bitter;acı;-;-;-
black;siyah;-;-;-
blame;suçlamak;blame;blamed;blamed
blank;boş;-;-;-
blind;kör;-;-;-
block;blok, engellemek;block;blocked;blocked
blog;blog;-;-;-
blonde;sarışın;-;-;-
blood;kan;-;-;-
blow;üflemek, esmek;blow;blew;blown
blue;mavi;-;-;-
board;tahta, kurul;board;boarded;boarded
boat;tekne;-;-;-
body;vücut;-;-;-
boil;kaynatmak;boil;boiled;boiled
bomb;bomba;bomb;bombed;bombed
bond;bağ, tahvil;-;-;-
bone;kemik;-;-;-
book;kitap, rezervasyon yapmak;book;booked;booked
boot;bot, çizme;-;-;-
border;sınır;border;bordered;bordered
bored;sıkılmış;-;-;-
boring;sıkıcı;-;-;-
born;doğmuş;-;-;-
borrow;ödünç almak;borrow;borrowed;borrowed
boss;patron;-;-;-
both;her ikisi;-;-;-
bother;rahatsız etmek;bother;bothered;bothered
bottle;şişe;-;-;-
bottom;alt, dip;-;-;-
bowl;kase;-;-;-
box;kutu;-;-;-
boy;erkek çocuk;-;-;-
boyfriend;erkek arkadaş;-;-;-
brain;beyin;-;-;-
branch;dal, şube;-;-;-
brand;marka;-;-;-
brave;cesur;-;-;-
bread;ekmek;-;-;-
break;kırmak, mola;break;broke;broken
breakfast;kahvaltı;-;-;-
breast;göğüs;-;-;-
breath;nefes;-;-;-
breathe;nefes almak;breathe;breathed;breathed
breathing;nefes alma;-;-;-
bride;gelin;-;-;-
bridge;köprü;-;-;-
brief;kısa;-;-;-
bright;parlak, zeki;-;-;-
brilliant;parlak, mükemmel;-;-;-
bring;getirmek;bring;brought;brought
broad;geniş;-;-;-
broadcast;yayınlamak;broadcast;broadcast;broadcast
broken;kırık;-;-;-
brother;erkek kardeş;-;-;-
brown;kahverengi;-;-;-
brush;fırça, fırçalamak;brush;brushed;brushed
bubble;kabarcık;-;-;-
budget;bütçe;-;-;-
build;inşa etmek;build;built;built
building;bina;-;-;-
bullet;mermi;-;-;-
bunch;demet, grup;-;-;-
burn;yakmak, yanmak;burn;burned/burnt;burned/burnt
bury;gömmek;bury;buried;buried
bus;otobüs;-;-;-
bush;çalı;-;-;-
business;iş;-;-;-
businessman;iş adamı;-;-;-
busy;meşgul;-;-;-
but;ama;-;-;-
butter;tereyağı;-;-;-
button;düğme;-;-;-
buy;satın almak;buy;bought;bought
by;tarafından;-;-;-
bye;hoşça kal;-;-;-
cable;kablo;-;-;-
cafe;kafe;-;-;-
cake;pasta;-;-;-
calculate;hesaplamak;calculate;calculated;calculated
call;aramak, çağırmak;call;called;called
calm;sakin;calm;calmed;calmed
camera;kamera;-;-;-
camp;kamp;camp;camped;camped
campaign;kampanya;campaign;campaigned;campaigned
camping;kamp yapma;-;-;-
campus;kampüs;-;-;-
can1;yapabilmek;can;could;-
can2;teneke kutu;-;-;-
cancel;iptal etmek;cancel;cancelled;cancelled
cancer;kanser;-;-;-
candidate;aday;-;-;-
cannot;yapamamak;-;-;-
cap;kep, şapka;-;-;-
capable;yetenekli;-;-;-
capacity;kapasite;-;-;-
capital;başkent, sermaye;-;-;-
captain;kaptan;-;-;-
capture;ele geçirmek;capture;captured;captured
car;araba;-;-;-
card;kart;-;-;-
care;önemsemek, bakım;care;cared;cared
career;kariyer;-;-;-
careful;dikkatli;-;-;-
carefully;dikkatlice;-;-;-
careless;dikkatsiz;-;-;-
carpet;halı;-;-;-
carrot;havuç;-;-;-
carry;taşımak;carry;carried;carried
cartoon;çizgi film;-;-;-
case;durum, dava;-;-;-
cash;nakit;-;-;-
cast;oyuncu kadrosu;cast;cast;cast
castle;kale;-;-;-
cat;kedi;-;-;-
catch;yakalamak;catch;caught;caught
category;kategori;-;-;-
cause;neden, neden olmak;cause;caused;caused
CD;CD;-;-;-
ceiling;tavan;-;-;-
celebrate;kutlamak;celebrate;celebrated;celebrated
celebration;kutlama;-;-;-
celebrity;ünlü kişi;-;-;-
cell;hücre;-;-;-
cent;sent;-;-;-
central;merkezi;-;-;-
centre;merkez;centre;centred;centred
century;yüzyıl;-;-;-
ceremony;tören;-;-;-
certain;kesin, emin;-;-;-
certainly;kesinlikle;-;-;-
chain;zincir;chain;chained;chained
chair;sandalye;chair;chaired;chaired
chairman;başkan;-;-;-
challenge;meydan okuma, zorlamak;challenge;challenged;challenged
champion;şampiyon;-;-;-
chance;şans, fırsat;-;-;-
change;değişmek, değiştirmek;change;changed;changed
channel;kanal;-;-;-
chapter;bölüm;-;-;-
character;karakter;-;-;-
characteristic;özellik;-;-;-
charge;ücret, şarj etmek;charge;charged;charged
charity;hayır kurumu;-;-;-
chart;grafik, tablo;chart;charted;charted
chat;sohbet etmek;chat;chatted;chatted
cheap;ucuz;-;-;-
cheat;hile yapmak;cheat;cheated;cheated
check;kontrol etmek;check;checked;checked
cheerful;neşeli;-;-;-
cheese;peynir;-;-;-
chef;şef;-;-;-
chemical;kimyasal;-;-;-
chemistry;kimya;-;-;-
chest;göğüs;-;-;-
chicken;tavuk;-;-;-
chief;şef, baş;-;-;-
child;çocuk;-;-;-
childhood;çocukluk;-;-;-
chip;cips, çip;-;-;-
chocolate;çikolata;-;-;-
choice;seçim;-;-;-
choose;seçmek;choose;chose;chosen
church;kilise;-;-;-
cigarette;sigara;-;-;-
cinema;sinema;-;-;-
circle;daire, çevrelemek;circle;circled;circled
circumstance;durum, koşul;-;-;-
cite;alıntı yapmak;cite;cited;cited
citizen;vatandaş;-;-;-
city;şehir;-;-;-
civil;sivil;-;-;-
claim;iddia etmek;claim;claimed;claimed
class;sınıf;-;-;-
classic;klasik;-;-;-
classical;klasik (müzik);-;-;-
classroom;sınıf (oda);-;-;-
clause;cümlecik, madde;-;-;-
clean;temiz, temizlemek;clean;cleaned;cleaned
clear;net, temizlemek;clear;cleared;cleared
clearly;açıkça;-;-;-
clever;akıllı;-;-;-
click;tıklamak;click;clicked;clicked
client;müşteri;-;-;-
climate;iklim;-;-;-
climb;tırmanmak;climb;climbed;climbed
clock;saat;-;-;-
close1;kapatmak;close;closed;closed
close2;yakın;-;-;-
closed;kapalı;-;-;-
closely;yakından;-;-;-
cloth;kumaş;-;-;-
clothes;giysiler;-;-;-
clothing;giyim;-;-;-
cloud;bulut;-;-;-
club;kulüp;-;-;-
clue;ipucu;-;-;-
coach;antrenör, koç;coach;coached;coached
coal;kömür;-;-;-
coast;kıyı;-;-;-
coat;palto;-;-;-
code;kod;-;-;-
coffee;kahve;-;-;-
coin;madeni para;-;-;-
cold;soğuk;-;-;-
collapse;çökmek;collapse;collapsed;collapsed
colleague;meslektaş;-;-;-
collect;toplamak;collect;collected;collected
collection;koleksiyon;-;-;-
college;kolej, yüksekokul;-;-;-
colour;renk;colour;coloured;coloured
coloured;renkli;-;-;-
column;sütun;-;-;-
combination;kombinasyon;-;-;-
combine;birleştirmek;combine;combined;combined
come;gelmek;come;came;come
comedy;komedi;-;-;-
comfort;rahatlık, teselli etmek;comfort;comforted;comforted
comfortable;rahat;-;-;-
command;emir, komuta etmek;command;commanded;commanded
comment;yorum;comment;commented;commented
commercial;ticari;-;-;-
commission;komisyon;commission;commissioned;commissioned
commit;işlemek (suç), adamak;commit;committed;committed
commitment;bağlılık;-;-;-
committee;komite;-;-;-
common;ortak, yaygın;-;-;-
commonly;genellikle;-;-;-
communicate;iletişim kurmak;communicate;communicated;communicated
communication;iletişim;-;-;-
community;topluluk;-;-;-
company;şirket;-;-;-
compare;karşılaştırmak;compare;compared;compared
comparison;karşılaştırma;-;-;-
compete;yarışmak;compete;competed;competed
competition;yarışma, rekabet;-;-;-
competitive;rekabetçi;-;-;-
competitor;rakip;-;-;-
complain;şikayet etmek;complain;complained;complained
complaint;şikayet;-;-;-
complete;tamamlamak, tam;complete;completed;completed
completely;tamamen;-;-;-
complex;karmaşık;-;-;-
complicated;karmaşık;-;-;-
component;bileşen;-;-;-
computer;bilgisayar;-;-;-
concentrate;odaklanmak;concentrate;concentrated;concentrated
concentration;konsantrasyon;-;-;-
concept;kavram;-;-;-
concern;endişe, ilgilendirmek;concern;concerned;concerned
concerned;endişeli;-;-;-
concert;konser;-;-;-
conclude;sonuçlandırmak;conclude;concluded;concluded
conclusion;sonuç;-;-;-
condition;durum, koşul;-;-;-
conduct;yürütmek, davranış;conduct;conducted;conducted
conference;konferans;-;-;-
confidence;özgüven;-;-;-
confident;kendinden emin;-;-;-
confirm;onaylamak;confirm;confirmed;confirmed
conflict;çatışma;conflict;conflicted;conflicted
confuse;kafasını karıştırmak;confuse;confused;confused
confused;kafası karışmış;-;-;-
confusing;kafa karıştırıcı;-;-;-
connect;bağlamak;connect;connected;connected
connected;bağlı;-;-;-
connection;bağlantı;-;-;-
conscious;bilinçli;-;-;-
consequence;sonuç;-;-;-
conservative;muhafazakar;-;-;-
consider;düşünmek, göz önünde bulundurmak;consider;considered;considered
consideration;dikkate alma;-;-;-
consist;oluşmak;consist;consisted;consisted
consistent;tutarlı;-;-;-
constant;sabit, sürekli;-;-;-
constantly;sürekli olarak;-;-;-
construct;inşa etmek;construct;constructed;constructed
construction;inşaat;-;-;-
consume;tüketmek;consume;consumed;consumed
consumer;tüketici;-;-;-
contact;temas, iletişim kurmak;contact;contacted;contacted
contain;içermek;contain;contained;contained
container;kap, konteyner;-;-;-
contemporary;çağdaş;-;-;-
content1;içerik;-;-;-
contest;yarışma;contest;contested;contested
context;bağlam;-;-;-
continent;kıta;-;-;-
continue;devam etmek;continue;continued;continued
continuous;sürekli;-;-;-
contract;sözleşme;contract;contracted;contracted
contrast;karşıtlık;contrast;contrasted;contrasted
contribute;katkıda bulunmak;contribute;contributed;contributed
contribution;katkı;-;-;-
control;kontrol, kontrol etmek;control;controlled;controlled
convenient;uygun, elverişli;-;-;-
conversation;konuşma;-;-;-
convert;dönüştürmek;convert;converted;converted
convince;ikna etmek;convince;convinced;convinced
convinced;ikna olmuş;-;-;-
cook;pişirmek, aşçı;cook;cooked;cooked
cooker;ocak (mutfak);-;-;-
cooking;yemek pişirme;-;-;-
cool;serin, harika;cool;cooled;cooled
copy;kopya, kopyalamak;copy;copied;copied
core;çekirdek;-;-;-
corner;köşe;-;-;-
corporate;kurumsal;-;-;-
correct;doğru, düzeltmek;correct;corrected;corrected
correctly;doğru bir şekilde;-;-;-
cost;maliyet, mal olmak;cost;cost;cost
costume;kostüm;-;-;-
cottage;kulübe;-;-;-
cotton;pamuk;-;-;-
could;yapabilirdi;-;-;-
council;konsey;-;-;-
count;saymak;count;counted;counted
country;ülke;-;-;-
countryside;kırsal alan;-;-;-
county;ilçe;-;-;-
couple;çift, birkaç;-;-;-
courage;cesaret;-;-;-
course;ders, rota;-;-;-
court;mahkeme;-;-;-
cousin;kuzen;-;-;-
cover;kapatmak, örtmek;cover;covered;covered
covered;örtülü;-;-;-
cow;inek;-;-;-
crash;çarpışma, çarpışmak;crash;crashed;crashed
crazy;çılgın;-;-;-
cream;krema;-;-;-
create;yaratmak;create;created;created
creation;yaratılış;-;-;-
creative;yaratıcı;-;-;-
creature;yaratık;-;-;-
credit;kredi, itibar;credit;credited;credited
crew;mürettebat;-;-;-
crime;suç;-;-;-
criminal;suçlu;-;-;-
crisis;kriz;-;-;-
criterion;ölçüt;-;-;-
critic;eleştirmen;-;-;-
critical;eleştirel, kritik;-;-;-
criticism;eleştiri;-;-;-
criticize;eleştirmek;criticize;criticized;criticized
crop;ekin, ürün;-;-;-
cross;geçmek, çapraz;cross;crossed;crossed
crowd;kalabalık;-;-;-
crowded;kalabalık (sıfat);-;-;-
crucial;çok önemli;-;-;-
cruel;zalim;-;-;-
cry;ağlamak;cry;cried;cried
cultural;kültürel;-;-;-
culture;kültür;-;-;-
cup;fincan;-;-;-
cupboard;dolap;-;-;-
cure;tedavi, iyileştirmek;cure;cured;cured
curly;kıvırcık;-;-;-
currency;para birimi;-;-;-
current;mevcut, akım;-;-;-
currently;şu anda;-;-;-
curtain;perde;-;-;-
curve;eğri;curve;curved;curved
curved;eğri (sıfat);-;-;-
custom;gelenek;-;-;-
customer;müşteri;-;-;-
cut;kesmek;cut;cut;cut
cycle;döngü, bisiklete binmek;cycle;cycled;cycled
dad;baba;-;-;-
daily;günlük;-;-;-
damage;hasar, zarar vermek;damage;damaged;damaged
dance;dans etmek;dance;danced;danced
dancer;dansçı;-;-;-
dancing;dans etme;-;-;-
danger;tehlike;-;-;-
dangerous;tehlikeli;-;-;-
dark;karanlık;-;-;-
data;veri;-;-;-
date;tarih, randevu;date;dated;dated
daughter;kız evlat;-;-;-
day;gün;-;-;-
dead;ölü;-;-;-
deal;anlaşma, uğraşmak;deal;dealt;dealt
dear;sevgili;-;-;-
death;ölüm;-;-;-
debate;tartışma, tartışmak;debate;debated;debated
debt;borç;-;-;-
decade;on yıl;-;-;-
December;Aralık;-;-;-
decent;iyi, düzgün;-;-;-
decide;karar vermek;decide;decided;decided
decision;karar;-;-;-
declare;beyan etmek;declare;declared;declared
decline;reddetmek, azalmak;decline;declined;declined
decorate;dekore etmek;decorate;decorated;decorated
decoration;dekorasyon;-;-;-
decrease;azalmak;decrease;decreased;decreased
deep;derin;-;-;-
deeply;derinden;-;-;-
defeat;yenmek;defeat;defeated;defeated
defence;savunma;-;-;-
defend;savunmak;defend;defended;defended
define;tanımlamak;define;defined;defined
definite;kesin;-;-;-
definitely;kesinlikle;-;-;-
definition;tanım;-;-;-
degree;derece;-;-;-
delay;geciktirmek, gecikme;delay;delayed;delayed
deliberate;kasıtlı;-;-;-
deliberately;kasıtlı olarak;-;-;-
delicious;lezzetli;-;-;-
delight;memnuniyet, sevindirmek;delight;delighted;delighted
delighted;çok memnun;-;-;-
deliver;teslim etmek;deliver;delivered;delivered
delivery;teslimat;-;-;-
demand;talep, talep etmek;demand;demanded;demanded
demonstrate;göstermek;demonstrate;demonstrated;demonstrated
dentist;diş hekimi;-;-;-
deny;inkar etmek;deny;denied;denied
department;departman;-;-;-
departure;hareket, kalkış;-;-;-
depend;bağlı olmak;depend;depended;depended
depressed;depresif;-;-;-
depressing;karamsar;-;-;-
depth;derinlik;-;-;-
describe;tanımlamak, betimlemek;describe;described;described
description;tanımlama;-;-;-
desert;çöl, terk etmek;desert;deserted;deserted
deserve;hak etmek;deserve;deserved;deserved
design;tasarım, tasarlamak;design;designed;designed
designer;tasarımcı;-;-;-
desire;arzu, arzulamak;desire;desired;desired
desk;masa;-;-;-
desperate;umutsuz;-;-;-
despite;-e rağmen;-;-;-
destination;varış noktası;-;-;-
destroy;yok etmek;destroy;destroyed;destroyed
detail;detay;detail;detailed;detailed
detailed;detaylı;-;-;-
detect;tespit etmek;detect;detected;detected
detective;dedektif;-;-;-
determine;belirlemek;determine;determined;determined
determined;kararlı;-;-;-
develop;geliştirmek;develop;developed;developed
development;gelişim;-;-;-
device;cihaz;-;-;-
diagram;diyagram;-;-;-
dialogue;diyalog;-;-;-
diamond;elmas;-;-;-
diary;günlük (defter);-;-;-
dictionary;sözlük;-;-;-
die;ölmek;die;died;died
diet;diyet;-;-;-
difference;fark;-;-;-
different;farklı;-;-;-
differently;farklı bir şekilde;-;-;-
difficult;zor;-;-;-
difficulty;zorluk;-;-;-
dig;kazmak;dig;dug;dug
digital;dijital;-;-;-
dinner;akşam yemeği;-;-;-
direct;doğrudan, yönetmek;direct;directed;directed
direction;yön;-;-;-
directly;doğrudan;-;-;-
director;yönetmen, müdür;-;-;-
dirt;kir;-;-;-
dirty;kirli;-;-;-
disadvantage;dezavantaj;-;-;-
disagree;aynı fikirde olmamak;disagree;disagreed;disagreed
disappear;kaybolmak;disappear;disappeared;disappeared
disappointed;hayal kırıklığına uğramış;-;-;-
disappointing;hayal kırıklığı yaratan;-;-;-
disaster;felaket;-;-;-
disc;disk;-;-;-
discipline;disiplin;-;-;-
discount;indirim;discount;discounted;discounted
discover;keşfetmek;discover;discovered;discovered
discovery;keşif;-;-;-
discuss;tartışmak, görüşmek;discuss;discussed;discussed
discussion;tartışma, görüşme;-;-;-
disease;hastalık;-;-;-
dish;yemek, tabak;-;-;-
dishonest;dürüst olmayan;-;-;-
dislike;hoşlanmamak;dislike;disliked;disliked
dismiss;görevden almak;dismiss;dismissed;dismissed
display;sergilemek, ekran;display;displayed;displayed
distance;mesafe;-;-;-
distribute;dağıtmak;distribute;distributed;distributed
distribution;dağıtım;-;-;-
district;bölge, ilçe;-;-;-
divide;bölmek;divide;divided;divided
division;bölünme, bölüm;-;-;-
divorced;boşanmış;-;-;-
do1;yapmak;do;did;done
doctor;doktor;-;-;-
document;belge;document;documented;documented
documentary;belgesel;-;-;-
dog;köpek;-;-;-
dollar;dolar;-;-;-
domestic;yerli, ev ile ilgili;-;-;-
dominate;hakim olmak;dominate;dominated;dominated
donate;bağışlamak;donate;donated;donated
door;kapı;-;-;-
double;çift, iki katına çıkarmak;double;doubled;doubled
doubt;şüphe, şüphelenmek;doubt;doubted;doubted
down;aşağı;-;-;-
download;indirmek;download;downloaded;downloaded
downstairs;alt kat;-;-;-
downwards;aşağıya doğru;-;-;-
dozen;düzine;-;-;-
draft;taslak;draft;drafted;drafted
drag;sürüklemek;drag;dragged;dragged
drama;drama;-;-;-
dramatic;dramatik;-;-;-
draw;çizmek;draw;drew;drawn
drawing;çizim;-;-;-
dream;rüya, hayal etmek;dream;dreamed/dreamt;dreamed/dreamt
dress;elbise, giydirmek;dress;dressed;dressed
dressed;giyinmiş;-;-;-
drink;içmek;drink;drank;drunk
drive;sürmek (araba);drive;drove;driven
driver;sürücü;-;-;-
driving;sürüş;-;-;-
drop;düşürmek, damla;drop;dropped;dropped
drug;ilaç, uyuşturucu;-;-;-
drum;davul;-;-;-
drunk;sarhoş;-;-;-
dry;kuru, kurulamak;dry;dried;dried
due;beklenen, borçlu;-;-;-
during;sırasında;-;-;-
dust;toz;-;-;-
duty;görev;-;-;-
DVD;DVD;-;-;-
each;her bir;-;-;-
ear;kulak;-;-;-
early;erken;-;-;-
earn;kazanmak (para);earn;earned;earned
earth;dünya;-;-;-
earthquake;deprem;-;-;-
easily;kolayca;-;-;-
east;doğu;-;-;-
eastern;doğu (sıfat);-;-;-
